2025-12-15 11:01:43.067 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-15 11:01:43.067 | INFO | [DBManager] DB initialized successfully.
2025-12-15 11:01:43.067 | INFO | [DBServer] DB Initialized
2025-12-15 11:01:43.067 | INFO | [DBWorker] Started
2025-12-15 11:01:43.068 | INFO | [DBServer] Listening on port 3600
2025-12-15 11:01:43.068 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 11:01:43.068 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 11:01:46.725 | INFO | [DBServer] MainServer connected
2025-12-15 11:01:46.726 | INFO | [DB] PING_REQ received seq=1
2025-12-15 11:01:46.726 | INFO | [DB] PING_ACK sent seq=1 tick=6422767
2025-12-15 11:04:35.584 | INFO | [DBServer] MainServer disconnected
2025-12-15 11:04:45.378 | INFO | Logger init app=DBServer
2025-12-15 11:04:45.420 | INFO | [System] DBServer process started
2025-12-15 11:04:45.437 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-15 11:04:45.438 | INFO | [DBManager] DB initialized successfully.
2025-12-15 11:04:45.438 | INFO | [DBServer] DB Initialized
2025-12-15 11:04:45.438 | INFO | [DBWorker] Started
2025-12-15 11:04:45.438 | INFO | [DBServer] Listening on port 3600
2025-12-15 11:04:45.438 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 11:04:45.438 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 11:04:48.442 | INFO | [DBServer] MainServer connected
2025-12-15 11:04:48.442 | INFO | [DB] PING_REQ received seq=1
2025-12-15 11:04:48.442 | INFO | [DB] PING_ACK sent seq=1 tick=6604484
2025-12-15 11:06:09.544 | INFO | [DBServer] MainServer disconnected
2025-12-15 11:06:57.623 | INFO | Logger init app=DBServer
2025-12-15 11:06:57.640 | INFO | [System] DBServer process started
2025-12-15 11:06:57.658 | INFO | [DbConnection] Connected to MySQL: 100.77.71.68:3306
2025-12-15 11:06:57.658 | INFO | [DBManager] DB initialized successfully.
2025-12-15 11:06:57.658 | INFO | [DBServer] DB Initialized
2025-12-15 11:06:57.658 | INFO | [DBWorker] Started
2025-12-15 11:06:57.659 | INFO | [DBServer] Listening on port 3600
2025-12-15 11:06:57.659 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 11:06:57.659 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 11:07:04.138 | INFO | [DBServer] MainServer connected
2025-12-15 11:07:04.138 | INFO | [DB] PING_REQ received seq=1
2025-12-15 11:07:04.138 | INFO | [DB] PING_ACK sent seq=1 tick=6740179
2025-12-15 11:15:52.768 | INFO | Logger init app=DBServer
2025-12-15 11:15:52.810 | INFO | [System] DBServer process started
2025-12-15 11:15:54.897 | ERROR | [DbConnection] mysql_real_connect failed: Can't connect to MySQL server on '100.77.71.68:3306' (10061)
2025-12-15 11:15:54.897 | ERROR | [DBManager] Failed to connect DB. (100.77.71.68:3306, schema=game_db)
2025-12-15 11:15:54.897 | WARN | [DBServer] DBManager.Initialize failed
2025-12-15 11:15:54.897 | ERROR | [DB] Failed to start DBServer.
2025-12-15 11:15:54.897 | INFO | DBServer shutting down
2025-12-15 11:15:54.897 | INFO | Logger shutdown begin
2025-12-15 11:15:57.091 | INFO | Logger init app=DBServer
2025-12-15 11:15:57.129 | INFO | [System] DBServer process started
2025-12-15 11:15:59.206 | ERROR | [DbConnection] mysql_real_connect failed: Can't connect to MySQL server on '100.77.71.68:3306' (10061)
2025-12-15 11:15:59.206 | ERROR | [DBManager] Failed to connect DB. (100.77.71.68:3306, schema=game_db)
2025-12-15 11:15:59.215 | WARN | [DBServer] DBManager.Initialize failed
2025-12-15 11:15:59.215 | ERROR | [DB] Failed to start DBServer.
2025-12-15 11:15:59.215 | INFO | DBServer shutting down
2025-12-15 11:15:59.215 | INFO | Logger shutdown begin
2025-12-15 11:16:17.400 | INFO | Logger init app=DBServer
2025-12-15 11:16:17.440 | INFO | [System] DBServer process started
2025-12-15 11:16:19.530 | ERROR | [DbConnection] mysql_real_connect failed: Can't connect to MySQL server on '100.77.71.68:3306' (10061)
2025-12-15 11:16:19.530 | ERROR | [DBManager] Failed to connect DB. (100.77.71.68:3306, schema=game_db)
2025-12-15 11:16:19.530 | WARN | [DBServer] DBManager.Initialize failed
2025-12-15 11:16:19.531 | ERROR | [DB] Failed to start DBServer.
2025-12-15 11:16:19.531 | INFO | DBServer shutting down
2025-12-15 11:16:19.531 | INFO | Logger shutdown begin
2025-12-15 11:17:00.263 | INFO | Logger init app=DBServer
2025-12-15 11:17:00.302 | INFO | [System] DBServer process started
2025-12-15 11:17:00.320 | INFO | [DbConnection] Connected to MySQL: 127.0.0.1:3306
2025-12-15 11:17:00.320 | INFO | [DBManager] DB initialized successfully.
2025-12-15 11:17:00.320 | INFO | [DBServer] DB Initialized
2025-12-15 11:17:00.320 | INFO | [DBWorker] Started
2025-12-15 11:17:00.321 | INFO | [DBServer] Listening on port 3600
2025-12-15 11:17:00.321 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 11:17:00.321 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 11:17:08.737 | INFO | [DBServer] MainServer connected
2025-12-15 11:17:08.737 | INFO | [DB] PING_REQ received seq=1
2025-12-15 11:17:08.737 | INFO | [DB] PING_ACK sent seq=1 tick=7344779
2025-12-15 11:18:04.057 | INFO | [DBServer] MainServer disconnected
2025-12-15 11:18:08.084 | INFO | [DBServer] MainServer connected
2025-12-15 11:18:08.084 | INFO | [DB] PING_REQ received seq=1
2025-12-15 11:18:08.084 | INFO | [DB] PING_ACK sent seq=1 tick=7404125
2025-12-15 11:21:34.207 | INFO | Logger init app=DBServer
2025-12-15 11:21:34.248 | INFO | [System] DBServer process started
2025-12-15 11:21:34.266 | INFO | [DbConnection] Connected to MySQL: 127.0.0.1:3306
2025-12-15 11:21:34.266 | INFO | [DBManager] DB initialized successfully.
2025-12-15 11:21:34.266 | INFO | [DBServer] DB Initialized
2025-12-15 11:21:34.266 | INFO | [DBWorker] Started
2025-12-15 11:21:34.267 | INFO | [DBServer] Listening on port 3600
2025-12-15 11:21:34.267 | INFO | [DB] DBServer started. Listening on port 3600.
2025-12-15 11:21:34.267 | INFO | [DB] Press Ctrl+C to stop.
2025-12-15 11:21:37.179 | INFO | [DBServer] MainServer connected
2025-12-15 11:21:37.179 | INFO | [DB] PING_REQ received seq=1
